,name,colors,manaValue,manaCost,power,toughness,loyalty,text,rarity,keywords,supertypes,types,subtypes
0,"Ugin, the Spirit Dragon",C,8.0,{8},,,7.0,"[+2]: Ugin, the Spirit Dragon deals 3 damage to any target.
[−X]: Exile each permanent with mana value X or less that's one or more colors.
[−10]: You gain 7 life, draw seven cards, then put up to seven permanent cards from your hand onto the battlefield.",mythic,,Legendary,Planeswalker,Ugin
1,Alpine Watchdog,W,2.0,{1}{W},2.0,2.0,,Vigilance (Attacking doesn't cause this creature to tap.),common,Vigilance,,Creature,Dog
2,Angelic Ascension,W,2.0,{1}{W},,,,Exile target creature or planeswalker. Its controller creates a 4/4 white Angel creature token with flying.,uncommon,,,Instant,
3,Anointed Chorister,W,1.0,{W},1.0,1.0,,"Lifelink (Damage dealt by this creature also causes you to gain that much life.)
{4}{W}: Anointed Chorister gets +3/+3 until end of turn.",common,Lifelink,,Creature,"Human, Cleric"
4,Aven Gagglemaster,W,5.0,{3}{W}{W},4.0,3.0,,"Flying
When Aven Gagglemaster enters the battlefield, you gain 2 life for each creature you control with flying.",uncommon,Flying,,Creature,"Bird, Warrior"
5,Baneslayer Angel,W,5.0,{3}{W}{W},5.0,5.0,,"Flying, first strike, lifelink, protection from Demons and from Dragons",mythic,"First strike, Flying, Lifelink, Protection",,Creature,Angel
6,Basri Ket,W,3.0,{1}{W}{W},,,3.0,"[+1]: Put a +1/+1 counter on up to one target creature. It gains indestructible until end of turn.
[−2]: Whenever one or more nontoken creatures attack this turn, create that many 1/1 white Soldier creature tokens that are tapped and attacking.
[−6]: You get an emblem with ""At the beginning of combat on your turn, create a 1/1 white Soldier creature token, then put a +1/+1 counter on each creature you control.""",mythic,,Legendary,Planeswalker,Basri
7,Basri's Acolyte,W,4.0,{2}{W}{W},2.0,3.0,,"Lifelink (Damage dealt by this creature also causes you to gain that much life.)
When Basri's Acolyte enters the battlefield, put a +1/+1 counter on each of up to two other target creatures you control.",common,Lifelink,,Creature,"Cat, Cleric"
8,Basri's Lieutenant,W,4.0,{3}{W},3.0,4.0,,"Vigilance, protection from multicolored
When Basri's Lieutenant enters the battlefield, put a +1/+1 counter on target creature you control.
Whenever Basri's Lieutenant or another creature you control dies, if it had a +1/+1 counter on it, create a 2/2 white Knight creature token with vigilance.",rare,"Protection, Vigilance",,Creature,"Human, Knight"
9,Basri's Solidarity,W,2.0,{1}{W},,,,Put a +1/+1 counter on each creature you control.,uncommon,,,Sorcery,
10,Celestial Enforcer,W,3.0,{2}{W},2.0,3.0,,"{1}{W}, {T}: Tap target creature. Activate only if you control a creature with flying.",common,,,Creature,"Human, Cleric"
11,Concordia Pegasus,W,2.0,{1}{W},1.0,3.0,,Flying,common,Flying,,Creature,Pegasus
12,Containment Priest,W,2.0,{1}{W},2.0,2.0,,"Flash
If a nontoken creature would enter the battlefield and it wasn't cast, exile it instead.",rare,Flash,,Creature,"Human, Cleric"
13,Daybreak Charger,W,2.0,{1}{W},3.0,1.0,,"When Daybreak Charger enters the battlefield, target creature gets +2/+0 until end of turn.",common,,,Creature,Unicorn
14,Defiant Strike,W,1.0,{W},,,,"Target creature gets +1/+0 until end of turn.
Draw a card.",common,,,Instant,
15,Dub,W,3.0,{2}{W},,,,"Enchant creature
Enchanted creature gets +2/+2, has first strike, and is a Knight in addition to its other types. (It deals combat damage before creatures without first strike.)",common,Enchant,,Enchantment,Aura
16,Faith's Fetters,W,4.0,{3}{W},,,,"Enchant permanent
When Faith's Fetters enters the battlefield, you gain 4 life.
Enchanted permanent can't attack or block, and its activated abilities can't be activated unless they're mana abilities.",uncommon,Enchant,,Enchantment,Aura
17,Falconer Adept,W,4.0,{3}{W},2.0,3.0,,"Whenever Falconer Adept attacks, create a 1/1 white Bird creature token with flying that's tapped and attacking.",uncommon,,,Creature,"Human, Soldier"
18,Feat of Resistance,W,2.0,{1}{W},,,,"Put a +1/+1 counter on target creature you control. It gains protection from the color of your choice until end of turn. (It can't be blocked, targeted, dealt damage, enchanted, or equipped by anything of that color.)",common,,,Instant,
19,Gale Swooper,W,4.0,{3}{W},3.0,2.0,,"Flying
When Gale Swooper enters the battlefield, target creature gains flying until end of turn.",common,Flying,,Creature,Griffin
20,Glorious Anthem,W,3.0,{1}{W}{W},,,,Creatures you control get +1/+1.,rare,,,Enchantment,
21,Griffin Aerie,W,2.0,{1}{W},,,,"At the beginning of your end step, if you gained 3 or more life this turn, create a 2/2 white Griffin creature token with flying.",uncommon,,,Enchantment,
22,Idol of Endurance,W,3.0,{2}{W},,,,"When Idol of Endurance enters the battlefield, exile all creature cards with mana value 3 or less from your graveyard until Idol of Endurance leaves the battlefield.
{1}{W}, {T}: Until end of turn, you may cast a creature spell from among cards exiled with Idol of Endurance without paying its mana cost.",rare,,,Artifact,
23,Legion's Judgment,W,3.0,{2}{W},,,,Destroy target creature with power 4 or greater.,common,,,Sorcery,
24,Light of Promise,W,3.0,{2}{W},,,,"Enchant creature
Enchanted creature has ""Whenever you gain life, put that many +1/+1 counters on this creature.""",uncommon,Enchant,,Enchantment,Aura
25,Makeshift Battalion,W,3.0,{2}{W},3.0,2.0,,"Whenever Makeshift Battalion and at least two other creatures attack, put a +1/+1 counter on Makeshift Battalion.",common,,,Creature,"Human, Soldier"
26,"Mangara, the Diplomat",W,4.0,{3}{W},2.0,4.0,,"Lifelink
Whenever an opponent attacks with creatures, if two or more of those creatures are attacking you and/or planeswalkers you control, draw a card.
Whenever an opponent casts their second spell each turn, draw a card.",mythic,Lifelink,Legendary,Creature,"Human, Cleric"
27,Nine Lives,W,3.0,{1}{W}{W},,,,"Hexproof
If a source would deal damage to you, prevent that damage and put an incarnation counter on Nine Lives.
When there are nine or more incarnation counters on Nine Lives, exile it.
When Nine Lives leaves the battlefield, you lose the game.",rare,Hexproof,,Enchantment,
28,Pack Leader,W,2.0,{1}{W},2.0,2.0,,"Other Dogs you control get +1/+1.
Whenever Pack Leader attacks, prevent all combat damage that would be dealt this turn to Dogs you control.",rare,,,Creature,Dog
29,Rambunctious Mutt,W,5.0,{3}{W}{W},3.0,4.0,,"When Rambunctious Mutt enters the battlefield, destroy target artifact or enchantment an opponent controls.",common,,,Creature,Dog
30,Revitalize,W,2.0,{1}{W},,,,"You gain 3 life.
Draw a card.",common,,,Instant,
31,Runed Halo,W,2.0,{W}{W},,,,"As Runed Halo enters the battlefield, choose a card name.
You have protection from the chosen card name. (You can't be targeted, dealt damage, or enchanted by anything with that name.)",rare,,,Enchantment,
32,Sanctum of Tranquil Light,W,1.0,{W},,,,{5}{W}: Tap target creature. This ability costs {1} less to activate for each Shrine you control.,uncommon,,Legendary,Enchantment,Shrine
33,Seasoned Hallowblade,W,2.0,{1}{W},3.0,1.0,,"Discard a card: Tap Seasoned Hallowblade. It gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",uncommon,,,Creature,"Human, Warrior"
34,Secure the Scene,W,5.0,{4}{W},,,,Exile target nonland permanent. Its controller creates a 1/1 white Soldier creature token.,common,,,Sorcery,
35,Selfless Savior,W,1.0,{W},1.0,1.0,,"Sacrifice Selfless Savior: Another target creature you control gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",uncommon,,,Creature,Dog
36,Siege Striker,W,3.0,{2}{W},1.0,1.0,,"Double strike (This creature deals both first-strike and regular combat damage.)
Whenever Siege Striker attacks, you may tap any number of untapped creatures you control. Siege Striker gets +1/+1 until end of turn for each creature tapped this way.",uncommon,Double strike,,Creature,"Human, Soldier"
37,Speaker of the Heavens,W,1.0,{W},1.0,1.0,,"Vigilance, lifelink
{T}: Create a 4/4 white Angel creature token with flying. Activate only if you have at least 7 life more than your starting life total and only as a sorcery.",rare,"Lifelink, Vigilance",,Creature,"Human, Cleric"
38,Staunch Shieldmate,W,1.0,{W},1.0,3.0,,,common,,,Creature,"Dwarf, Soldier"
39,Swift Response,W,2.0,{1}{W},,,,Destroy target tapped creature.,common,,,Instant,
40,Tempered Veteran,W,2.0,{1}{W},1.0,2.0,,"{W}, {T}: Put a +1/+1 counter on target creature with a +1/+1 counter on it.
{4}{W}{W}, {T}: Put a +1/+1 counter on target creature.",uncommon,,,Creature,"Human, Knight"
41,Valorous Steed,W,5.0,{4}{W},3.0,3.0,,"Vigilance (Attacking doesn't cause this creature to tap.)
When Valorous Steed enters the battlefield, create a 2/2 white Knight creature token with vigilance.",common,Vigilance,,Creature,Unicorn
42,Vryn Wingmare,W,3.0,{2}{W},2.0,1.0,,"Flying
Noncreature spells cost {1} more to cast.",uncommon,Flying,,Creature,Pegasus
43,Warded Battlements,W,3.0,{2}{W},0.0,3.0,,"Defender (This creature can't attack.)
Attacking creatures you control get +1/+0.",common,Defender,,Creature,Wall
44,"Barrin, Tolarian Archmage",U,3.0,{1}{U}{U},2.0,2.0,,"When Barrin, Tolarian Archmage enters the battlefield, return up to one other target creature or planeswalker to its owner's hand.
At the beginning of your end step, if a permanent was put into your hand from the battlefield this turn, draw a card.",rare,,Legendary,Creature,"Human, Wizard"
45,Cancel,U,3.0,{1}{U}{U},,,,Counter target spell.,common,,,Instant,
46,Capture Sphere,U,4.0,{3}{U},,,,"Flash (You may cast this spell any time you could cast an instant.)
Enchant creature
When Capture Sphere enters the battlefield, tap enchanted creature.
Enchanted creature doesn't untap during its controller's untap step.",common,"Enchant, Flash",,Enchantment,Aura
47,Discontinuity,U,6.0,{3}{U}{U}{U},,,,"As long as it's your turn, this spell costs {2}{U}{U} less to cast.
End the turn. (Exile all spells and abilities from the stack, including this card. The player whose turn it is discards down to their maximum hand size. Damage wears off, and ""this turn"" and ""until end of turn"" effects end.)",mythic,,,Instant,
48,Enthralling Hold,U,5.0,{3}{U}{U},,,,"Enchant creature
You can't choose an untapped creature as this spell's target as you cast it.
You control enchanted creature.",uncommon,Enchant,,Enchantment,Aura
49,Frantic Inventory,U,2.0,{1}{U},,,,"Draw a card, then draw cards equal to the number of cards named Frantic Inventory in your graveyard.",common,,,Instant,
50,Frost Breath,U,3.0,{2}{U},,,,Tap up to two target creatures. Those creatures don't untap during their controller's next untap step.,common,,,Instant,
