,name,colors,manaValue,manaCost,power,toughness,loyalty,text,rarity,keywords,supertypes,types,subtypes
0,Aegis of the Heavens,W,2.0,{1}{W},,,,Target creature gets +1/+7 until end of turn.,uncommon,,,Instant,
1,Aethershield Artificer,W,4.0,{3}{W},3.0,3.0,,"At the beginning of combat on your turn, target artifact creature you control gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",uncommon,,,Creature,"Dwarf, Artificer"
2,"Ajani, Adversary of Tyrants",W,4.0,{2}{W}{W},,,4.0,"[+1]: Put a +1/+1 counter on each of up to two target creatures.
[−2]: Return target creature card with mana value 2 or less from your graveyard to the battlefield.
[−7]: You get an emblem with ""At the beginning of your end step, create three 1/1 white Cat creature tokens with lifelink.""",mythic,,Legendary,Planeswalker,Ajani
3,Ajani's Last Stand,W,4.0,{2}{W}{W},,,,"Whenever a creature or planeswalker you control dies, you may sacrifice Ajani's Last Stand. If you do, create a 4/4 white Avatar creature token with flying.
When a spell or ability an opponent controls causes you to discard this card, if you control a Plains, create a 4/4 white Avatar creature token with flying.",rare,,,Enchantment,
4,Ajani's Pridemate,W,2.0,{1}{W},2.0,2.0,,"Whenever you gain life, put a +1/+1 counter on Ajani's Pridemate.",uncommon,,,Creature,"Cat, Soldier"
5,Ajani's Welcome,W,1.0,{W},,,,"Whenever a creature enters the battlefield under your control, you gain 1 life.",uncommon,,,Enchantment,
6,Angel of the Dawn,W,5.0,{4}{W},3.0,3.0,,"Flying
When Angel of the Dawn enters the battlefield, creatures you control get +1/+1 and gain vigilance until end of turn.",common,Flying,,Creature,Angel
7,Cavalry Drillmaster,W,2.0,{1}{W},2.0,1.0,,"When Cavalry Drillmaster enters the battlefield, target creature gets +2/+0 and gains first strike until end of turn. (It deals combat damage before creatures without first strike.)",common,,,Creature,"Human, Knight"
8,Cleansing Nova,W,5.0,{3}{W}{W},,,,"Choose one —
• Destroy all creatures.
• Destroy all artifacts and enchantments.",rare,,,Sorcery,
9,Daybreak Chaplain,W,2.0,{1}{W},1.0,3.0,,Lifelink (Damage dealt by this creature also causes you to gain that much life.),common,Lifelink,,Creature,"Human, Cleric"
10,Dwarven Priest,W,4.0,{3}{W},2.0,4.0,,"When Dwarven Priest enters the battlefield, you gain 1 life for each creature you control.",common,,,Creature,"Dwarf, Cleric"
11,Gallant Cavalry,W,4.0,{3}{W},2.0,2.0,,"Vigilance (Attacking doesn't cause this creature to tap.)
When Gallant Cavalry enters the battlefield, create a 2/2 white Knight creature token with vigilance.",common,Vigilance,,Creature,"Human, Knight"
12,Herald of Faith,W,5.0,{3}{W}{W},4.0,3.0,,"Flying
Whenever Herald of Faith attacks, you gain 2 life.",uncommon,Flying,,Creature,Angel
